Date,Time,Sender,Receiver,Amount,Payment Type,Sender Bank Location,Receiver Bank Location,Payment Currency,Receiver Currency,Is Suspicious,Type
2023-02-08,00:00:00,ACC01012349,ACC01012350,3479.17,Cheque,Germany,Germany,EUR,EUR,0,Normal Group
2023-03-02,08:00:00,ACC01011301,ACC01011302,7987.134432260783,ACH,Spain,Spain,EUR,EUR,0,Periodical
2023-06-02,00:00:00,ACC01013564,ACC01013567,7909.07,Cheque,United Kingdom,United Kingdom,GBP,GBP,0,Normal Group
2023-06-24,00:00:00,ACC01013267,ACC01013270,3463.02,Cash,Spain,Spain,EUR,EUR,0,Normal Group
2023-04-06,04:09:00,ACC01009379,ACC01009380,2252.92,Cross-border,Netherlands,Spain,EUR,EUR,0,Single Transaction
2023-01-01,12:00:00,ACC01011381,ACC01011382,6173.568564827975,ACH,Canada,Canada,CAD,CAD,0,Periodical
2023-05-31,10:00:00,ACC01010165,ACC01010166,4282.63335252254,Debit Card,Germany,Germany,EUR,EUR,0,Periodical
2023-11-25,00:00:00,ACC01011737,ACC01011738,2335.63,Cheque,United Kingdom,United Kingdom,GBP,GBP,0,Normal Group
2023-03-02,12:00:00,ACC01010811,ACC01010812,6125.163853450873,ACH,Canada,Canada,CAD,CAD,0,Periodical
2023-07-30,08:00:00,ACC01010867,ACC01010868,795.4131203318907,Debit Card,Japan,Japan,JPY,JPY,0,Periodical
2023-04-01,15:00:00,ACC01010493,ACC01010494,4573.3999096582365,ACH,France,France,EUR,EUR,0,Periodical
2023-02-08,00:00:00,ACC01012727,ACC01012728,5735.37,Cash,Spain,Spain,EUR,EUR,0,Normal Group
2023-10-24,00:00:00,ACC01012259,ACC01012261,6333.0,Cash,Spain,Spain,EUR,EUR,0,Normal Group
2023-12-06,00:00:00,ACC01014509,ACC01014511,4324.29,ACH,Spain,Spain,EUR,EUR,0,Normal Group
2023-02-19,00:00:00,ACC01015184,ACC01015186,8864.11,Cross-border,Netherlands,Netherlands,EUR,EUR,0,Normal Group
2023-03-02,17:00:00,ACC01009735,ACC01009736,3070.256665105897,Debit Card,Canada,Canada,CAD,CAD,0,Periodical
2023-01-31,19:00:00,ACC01010907,ACC01010908,4245.384405689351,Debit Card,Japan,Japan,JPY,JPY,0,Periodical
2023-02-24,00:00:00,ACC01012034,ACC01012042,1725.3,Cheque,Japan,Japan,JPY,JPY,0,Normal Group
2023-11-09,00:00:00,ACC01013456,ACC01013458,4834.88,ACH,United States,United States,USD,USD,0,Normal Group
2023-08-10,00:00:00,ACC01012133,ACC01012138,2364.18,Credit Card,United Kingdom,United Kingdom,GBP,GBP,0,Normal Group
2023-10-07,00:00:00,ACC01015391,ACC01015392,2610.5,Cheque,Italy,Italy,EUR,EUR,0,Normal Group
2023-08-07,00:00:00,ACC01015319,ACC01015320,6487.78,ACH,Netherlands,Netherlands,EUR,EUR,0,Normal Group
2023-03-13,00:00:00,ACC01012835,ACC01012842,5413.89,Cross-border,Spain,Spain,EUR,EUR,0,Normal Group
2023-03-22,11:00:00,ACC01006877,ACC01006878,2600.94,Debit Card,France,Netherlands,EUR,EUR,0,Single Transaction
2023-07-30,04:00:00,ACC01011397,ACC01011398,3839.525277626651,ACH,Australia,Australia,AUD,AUD,0,Periodical
2023-01-01,18:00:00,ACC01010159,ACC01010160,2890.2996334234035,Debit Card,Italy,Italy,EUR,EUR,0,Periodical
2023-12-03,00:00:00,ACC01013015,ACC01013019,3613.55,Debit Card,Italy,Italy,EUR,EUR,0,Normal Group
2023-07-30,10:00:00,ACC01011009,ACC01011010,1295.0519386889523,Debit Card,Spain,Spain,EUR,EUR,0,Periodical
2023-01-31,17:00:00,ACC01010399,ACC01010400,3411.094596570443,Debit Card,Australia,Australia,AUD,AUD,0,Periodical
2023-05-09,00:00:00,ACC01013717,ACC01013725,9306.09,Cross-border,United States,United States,USD,USD,0,Normal Group
2023-04-01,08:00:00,ACC01010351,ACC01010352,481.0364249367571,Debit Card,France,France,EUR,EUR,0,Periodical
2023-04-17,00:00:00,ACC01013951,ACC01013952,9363.32,Credit Card,Spain,Spain,EUR,EUR,0,Normal Group
2023-10-25,00:00:00,ACC01013618,ACC01013621,2380.22,ACH,Australia,Australia,AUD,AUD,0,Normal Group
2023-12-04,00:00:00,ACC01012376,ACC01012377,4782.76,ACH,Australia,Australia,AUD,AUD,0,Normal Group
2023-01-01,14:00:00,ACC01010479,ACC01010480,2459.675608475552,ACH,France,France,EUR,EUR,0,Periodical
2023-01-31,11:00:00,ACC01010217,ACC01010218,3358.5025180784214,Debit Card,Italy,Italy,EUR,EUR,0,Periodical
2023-05-14,06:36:00,ACC01005749,ACC01005750,4164.17,ACH,Italy,Japan,EUR,JPY,0,Single Transaction
2023-08-29,00:00:00,ACC01013762,ACC01013764,4856.41,Cash,Netherlands,Netherlands,EUR,EUR,0,Normal Group
2023-10-18,00:00:00,ACC01013780,ACC01013785,4644.27,Cross-border,Australia,Australia,AUD,AUD,0,Normal Group
2023-10-20,00:00:00,ACC01013357,ACC01013360,7558.29,Cross-border,United Kingdom,United Kingdom,GBP,GBP,0,Normal Group
2023-03-07,00:00:00,ACC01012502,ACC01012503,2441.53,Debit Card,France,France,EUR,EUR,0,Normal Group
2023-05-01,06:00:00,ACC01009997,ACC01009998,7716.363731629557,Debit Card,Italy,Italy,EUR,EUR,0,Periodical
2023-10-01,18:22:00,ACC01001873,ACC01001874,2300.23,Cheque,United Kingdom,United States,GBP,USD,0,Single Transaction
2023-03-23,00:00:00,ACC01012169,ACC01012172,311.39,Credit Card,Spain,Spain,EUR,EUR,0,Normal Group
2023-02-19,00:00:00,ACC01012655,ACC01012656,2927.14,Credit Card,Netherlands,Netherlands,EUR,EUR,0,Normal Group
2023-05-31,22:00:00,ACC01009741,ACC01009742,9067.901036436624,Debit Card,Australia,Australia,AUD,AUD,0,Periodical
2023-09-14,00:00:00,ACC01013330,ACC01013332,5257.36,Credit Card,Netherlands,Netherlands,EUR,EUR,0,Normal Group
2023-02-12,00:00:00,ACC01013186,ACC01013189,7727.53,Cash,United States,United States,USD,USD,0,Normal Group
2023-10-04,06:00:00,ACC01000013,ACC01000020,5619.9,Debit Card,France,Turkey,EUR,TRY,1,Fan-Out
2023-02-06,00:00:00,ACC01013753,ACC01013759,641.49,Credit Card,Italy,Italy,EUR,EUR,0,Normal Group
2023-05-08,00:00:00,ACC01013699,ACC01013700,1101.5,Credit Card,Spain,Spain,EUR,EUR,0,Normal Group
2023-04-01,13:00:00,ACC01010995,ACC01010996,6377.781020680691,Debit Card,United States,United States,USD,USD,0,Periodical
2023-08-24,00:00:00,ACC01015040,ACC01015043,4277.27,Credit Card,Japan,Japan,JPY,JPY,0,Normal Group
2023-11-27,00:00:00,ACC01012313,ACC01012314,588.44,ACH,Spain,Spain,EUR,EUR,0,Normal Group
2023-03-16,04:47:00,ACC01008185,ACC01008186,4284.29,ACH,United States,United Kingdom,USD,GBP,0,Single Transaction
2023-05-18,00:00:00,ACC01014284,ACC01014285,8352.93,Cash,Italy,Italy,EUR,EUR,0,Normal Group
2023-12-04,01:54:00,ACC01007695,ACC01007696,911.18,Credit Card,Canada,Australia,CAD,AUD,0,Single Transaction
2023-05-31,07:00:00,ACC01010923,ACC01010924,6752.438328243995,ACH,United Kingdom,United Kingdom,GBP,GBP,0,Periodical
2023-06-15,05:45:00,ACC01003821,ACC01003822,3357.12,Credit Card,Germany,United Kingdom,EUR,GBP,0,Single Transaction
2024-01-02,00:00:00,ACC01015373,ACC01015375,4579.02,Cash,Spain,Spain,EUR,EUR,0,Normal Group
2023-01-31,02:00:00,ACC01010709,ACC01010710,4661.540030799564,ACH,Spain,Spain,EUR,EUR,0,Periodical
2023-04-23,00:00:00,ACC01012187,ACC01012189,1599.94,Cash,Netherlands,Netherlands,EUR,EUR,0,Normal Group
2023-05-25,00:00:00,ACC01013843,ACC01013844,545.85,ACH,Canada,Canada,CAD,CAD,0,Normal Group
2023-04-01,00:00:00,ACC01010613,ACC01010614,9768.255511271203,ACH,Japan,Japan,JPY,JPY,0,Periodical
2023-05-28,00:00:00,ACC01011908,ACC01011911,6435.91,Cross-border,Spain,Spain,EUR,EUR,0,Normal Group
2023-08-23,20:01:00,ACC01003819,ACC01003820,4915.49,Cross-border,Germany,Germany,EUR,EUR,0,Single Transaction
2023-04-06,00:00:00,ACC01015715,ACC01015716,7209.63,ACH,Australia,Australia,AUD,AUD,0,Normal Group
2023-08-04,00:00:00,ACC01014185,ACC01014186,6013.27,ACH,Canada,Canada,CAD,CAD,0,Normal Group
2023-04-01,09:00:00,ACC01011081,ACC01011082,8290.623161999823,Debit Card,France,France,EUR,EUR,0,Periodical
2023-12-17,00:00:00,ACC01013375,ACC01013382,3734.88,ACH,Germany,Germany,EUR,EUR,0,Normal Group
2023-03-02,16:00:00,ACC01010421,ACC01010422,9090.944697815585,Debit Card,Italy,Italy,EUR,EUR,0,Periodical
2023-02-19,00:00:00,ACC01014554,ACC01014555,9255.69,Cash,Germany,Germany,EUR,EUR,0,Normal Group
2023-01-31,07:00:00,ACC01009957,ACC01009958,3765.619932684487,Debit Card,Canada,Canada,CAD,CAD,0,Periodical
2023-06-30,04:00:00,ACC01011045,ACC01011046,7475.202421442559,ACH,United States,United States,USD,USD,0,Periodical
2023-10-20,00:00:00,ACC01013834,ACC01013837,2264.93,Cheque,United States,United States,USD,USD,0,Normal Group
2023-06-02,00:00:00,ACC01013933,ACC01013935,780.41,Cross-border,France,France,EUR,EUR,0,Normal Group
2024-01-07,00:00:00,ACC01012961,ACC01012967,5670.78,Cash,United Kingdom,United Kingdom,GBP,GBP,0,Normal Group
2023-12-23,00:00:00,ACC01011989,ACC01011994,6649.48,Debit Card,Netherlands,Netherlands,EUR,EUR,0,Normal Group
2023-02-03,00:00:00,ACC01012475,ACC01012476,3558.24,ACH,Spain,Spain,EUR,EUR,0,Normal Group
2023-08-07,00:00:00,ACC01014752,ACC01014753,962.67,Cross-border,Italy,Italy,EUR,EUR,0,Normal Group
2023-01-16,16:50:00,ACC01003871,ACC01003872,1119.19,ACH,Italy,Canada,EUR,CAD,0,Single Transaction
2023-10-04,00:00:00,ACC01012619,ACC01012620,7644.34,Cash,United Kingdom,United Kingdom,GBP,GBP,0,Normal Group
2023-02-18,00:00:00,ACC01015013,ACC01015015,8476.42,ACH,Canada,Canada,CAD,CAD,0,Normal Group
2023-06-03,00:00:00,ACC01015517,ACC01015522,4390.55,Cash,United Kingdom,United Kingdom,GBP,GBP,0,Normal Group
2023-06-16,12:16:00,ACC01002409,ACC01002410,2694.73,Debit Card,Italy,Japan,EUR,JPY,0,Single Transaction
2023-01-01,03:00:00,ACC01010171,ACC01010172,9752.7165823985,Debit Card,France,France,EUR,EUR,0,Periodical
2023-06-16,00:00:00,ACC01013933,ACC01013936,2014.44,Cross-border,France,France,EUR,EUR,0,Normal Group
2023-05-08,21:46:00,ACC01005677,ACC01005678,1302.59,Cash,Italy,Japan,EUR,JPY,0,Single Transaction
2023-11-14,00:00:00,ACC01013069,ACC01013072,110.97,Cash,Italy,Italy,EUR,EUR,0,Normal Group
2023-05-31,03:00:00,ACC01011175,ACC01011176,9512.889456688976,Debit Card,United States,United States,USD,USD,0,Periodical
2024-01-17,00:00:00,ACC01015805,ACC01015807,5434.41,Cross-border,Germany,Germany,EUR,EUR,0,Normal Group
2023-04-21,00:40:00,ACC01006799,ACC01006800,2230.64,Debit Card,Japan,United Kingdom,JPY,GBP,0,Single Transaction
2023-11-06,00:00:00,ACC01011746,ACC01011748,860.59,Cross-border,Australia,Australia,AUD,AUD,0,Normal Group
2023-11-18,00:00:00,ACC01014410,ACC01014414,3356.65,Debit Card,Spain,Spain,EUR,EUR,0,Normal Group
2023-07-30,00:00:00,ACC01013141,ACC01013144,7772.97,ACH,Australia,Australia,AUD,AUD,0,Normal Group
2023-03-13,00:00:00,ACC01015013,ACC01015020,9492.7,ACH,Canada,Canada,CAD,CAD,0,Normal Group
2023-07-30,18:00:00,ACC01011471,ACC01011472,391.57298582825,Debit Card,France,France,EUR,EUR,0,Periodical
2023-07-11,07:28:00,ACC01002383,ACC01002384,1044.29,Credit Card,Canada,United States,CAD,USD,0,Single Transaction
2023-01-27,00:00:00,ACC01012475,ACC01012477,7727.1,ACH,Spain,Spain,EUR,EUR,0,Normal Group
2023-02-06,00:00:00,ACC01012970,ACC01012974,6213.51,Cross-border,Australia,Australia,AUD,AUD,0,Normal Group
2023-04-06,00:00:00,ACC01014221,ACC01014224,6828.79,ACH,Canada,Canada,CAD,CAD,0,Normal Group
2023-03-13,00:00:00,ACC01015076,ACC01015081,3188.96,ACH,Canada,Canada,CAD,CAD,0,Normal Group
2023-12-29,00:00:00,ACC01015670,ACC01015673,5397.08,Cash,United Kingdom,United Kingdom,GBP,GBP,0,Normal Group
2023-04-01,16:00:00,ACC01009901,ACC01009902,7431.60270628104,Debit Card,Netherlands,Netherlands,EUR,EUR,0,Periodical
2023-08-02,19:35:00,ACC01007271,ACC01007272,99.19,Cash,Japan,Spain,JPY,EUR,0,Single Transaction
2023-05-03,00:00:00,ACC01011917,ACC01011921,4706.1,ACH,Germany,Germany,EUR,EUR,0,Normal Group
2023-04-16,00:00:00,ACC01012826,ACC01012832,7858.69,Debit Card,France,France,EUR,EUR,0,Normal Group
2023-05-12,00:00:00,ACC01013933,ACC01013934,4563.68,Cross-border,France,France,EUR,EUR,0,Normal Group
2023-05-31,04:00:00,ACC01009811,ACC01009812,9225.888168332907,Debit Card,Japan,Japan,JPY,JPY,0,Periodical
2023-10-24,00:00:00,ACC01012682,ACC01012687,3271.15,Cheque,Australia,Australia,AUD,AUD,0,Normal Group
2023-05-01,05:00:00,ACC01011185,ACC01011186,1620.6071701705034,Debit Card,Canada,Canada,CAD,CAD,0,Periodical
2023-06-30,23:00:00,ACC01010485,ACC01010486,1815.2024357263792,ACH,United Kingdom,United Kingdom,GBP,GBP,0,Periodical
2023-05-31,14:00:00,ACC01010887,ACC01010888,514.6716324811908,Debit Card,United Kingdom,United Kingdom,GBP,GBP,0,Periodical
2023-11-29,00:00:00,ACC01013960,ACC01013962,8075.65,Cross-border,France,France,EUR,EUR,0,Normal Group
2023-02-22,23:27:00,ACC01006197,ACC01006198,2909.42,ACH,Spain,Japan,EUR,JPY,0,Single Transaction
2023-03-14,00:00:00,ACC01015652,ACC01015653,8890.86,Credit Card,Italy,Italy,EUR,EUR,0,Normal Group
2023-02-26,00:00:00,ACC01014419,ACC01014422,9683.57,Credit Card,Canada,Canada,CAD,CAD,0,Normal Group
2023-01-12,16:36:00,ACC01006503,ACC01006504,2788.65,Cross-border,Italy,Australia,EUR,AUD,0,Single Transaction
2023-07-04,00:00:00,ACC01011674,ACC01011675,3532.23,Credit Card,Germany,Germany,EUR,EUR,0,Normal Group
2023-04-04,00:00:00,ACC01013276,ACC01013277,6045.72,Cash,Germany,Germany,EUR,EUR,0,Normal Group
2023-05-25,00:00:00,ACC01012232,ACC01012234,4268.59,Cheque,Australia,Australia,AUD,AUD,0,Normal Group
2023-03-23,00:00:00,ACC01015715,ACC01015718,6199.06,ACH,Australia,Australia,AUD,AUD,0,Normal Group
2023-03-01,00:00:00,ACC01014275,ACC01014277,1992.78,Cheque,Netherlands,Netherlands,EUR,EUR,0,Normal Group
2023-03-02,23:00:00,ACC01011549,ACC01011550,4828.421441115143,Debit Card,France,France,EUR,EUR,0,Periodical
2023-05-18,00:00:00,ACC01015058,ACC01015060,3396.32,ACH,Australia,Australia,AUD,AUD,0,Normal Group
2023-05-01,19:00:00,ACC01011439,ACC01011440,7199.88142701315,Debit Card,Germany,Germany,EUR,EUR,0,Periodical
2023-04-01,05:00:00,ACC01010909,ACC01010910,1545.1124384592165,Debit Card,Netherlands,Netherlands,EUR,EUR,0,Periodical
2023-07-30,15:00:00,ACC01011205,ACC01011206,5995.924984362319,ACH,Japan,Japan,JPY,JPY,0,Periodical
2023-06-05,00:00:00,ACC01012088,ACC01012094,1135.61,Cheque,Australia,Australia,AUD,AUD,0,Normal Group
2023-08-12,00:00:00,ACC01014212,ACC01014214,1713.02,Debit Card,Canada,Canada,CAD,CAD,0,Normal Group
2023-03-30,00:00:00,ACC01012538,ACC01012541,2216.88,Cheque,Spain,Spain,EUR,EUR,0,Normal Group
2023-11-25,00:00:00,ACC01015067,ACC01015068,4756.95,Debit Card,Australia,Australia,AUD,AUD,0,Normal Group
2023-04-06,00:00:00,ACC01012871,ACC01012872,7096.6,Cross-border,Germany,Germany,EUR,EUR,0,Normal Group
2023-09-28,23:00:00,ACC01011533,ACC01011534,2789.917382530746,Debit Card,Netherlands,Netherlands,EUR,EUR,0,Periodical
2023-05-31,12:00:00,ACC01011357,ACC01011358,8115.409492097429,ACH,Japan,Japan,JPY,JPY,0,Periodical
2023-11-17,00:00:00,ACC01013375,ACC01013381,5978.15,ACH,Germany,Germany,EUR,EUR,0,Normal Group
2023-02-21,00:00:00,ACC01013879,ACC01013881,8896.2,Debit Card,France,France,EUR,EUR,0,Normal Group
2023-01-31,09:00:00,ACC01010249,ACC01010250,552.2272439027807,Debit Card,France,France,EUR,EUR,0,Periodical
2023-06-30,09:00:00,ACC01010289,ACC01010290,2921.61575874027,ACH,France,France,EUR,EUR,0,Periodical
2023-03-21,00:00:00,ACC01013384,ACC01013386,3097.94,Credit Card,United States,United States,USD,USD,0,Normal Group
2023-06-23,00:00:00,ACC01013564,ACC01013565,8707.18,Cheque,United Kingdom,United Kingdom,GBP,GBP,0,Normal Group
2024-01-26,00:00:00,ACC01012358,ACC01012361,3698.47,ACH,Japan,Japan,JPY,JPY,0,Normal Group
2023-05-26,00:00:00,ACC01013564,ACC01013565,4208.23,Cheque,United Kingdom,United Kingdom,GBP,GBP,0,Normal Group
2023-07-07,00:00:00,ACC01012646,ACC01012648,9367.15,ACH,Netherlands,Netherlands,EUR,EUR,0,Normal Group
2023-10-28,12:00:00,ACC01011087,ACC01011088,3501.545876927641,Debit Card,Italy,Italy,EUR,EUR,0,Periodical
2023-02-28,00:00:00,ACC01012502,ACC01012503,1339.74,Debit Card,France,France,EUR,EUR,0,Normal Group
2023-10-25,00:00:00,ACC01012160,ACC01012164,4024.26,Credit Card,Japan,Japan,JPY,JPY,0,Normal Group
2023-04-29,00:00:00,ACC01014356,ACC01014358,9671.48,ACH,Japan,Japan,JPY,JPY,0,Normal Group
2023-05-11,00:00:00,ACC01012754,ACC01012757,8657.87,Cash,France,France,EUR,EUR,0,Normal Group
2023-09-08,07:43:00,ACC01004267,ACC01004268,4319.15,Cross-border,United Kingdom,Netherlands,GBP,EUR,0,Single Transaction
2023-05-08,15:46:00,ACC01008143,ACC01008144,4624.3,Credit Card,France,Spain,EUR,EUR,0,Single Transaction
2023-09-09,00:00:00,ACC01011944,ACC01011952,6839.05,Debit Card,Spain,Spain,EUR,EUR,0,Normal Group
2023-12-04,00:00:00,ACC01012313,ACC01012315,1665.24,ACH,Spain,Spain,EUR,EUR,0,Normal Group
2023-05-11,00:00:00,ACC01014671,ACC01014674,4081.02,Cheque,Italy,Italy,EUR,EUR,0,Normal Group
2023-05-11,00:00:00,ACC01012754,ACC01012755,4653.6,Cash,France,France,EUR,EUR,0,Normal Group
2023-09-28,04:00:00,ACC01011403,ACC01011404,8447.152274375087,Debit Card,Spain,Spain,EUR,EUR,0,Periodical
2023-03-02,22:00:00,ACC01011387,ACC01011388,6295.2853438208385,Debit Card,United Kingdom,United Kingdom,GBP,GBP,0,Periodical
2023-07-21,22:36:00,ACC01006819,ACC01006820,1599.16,Cash,Spain,Japan,EUR,JPY,0,Single Transaction
2023-05-01,12:00:00,ACC01011475,ACC01011476,2958.810023697102,Debit Card,Netherlands,Netherlands,EUR,EUR,0,Periodical
2024-01-01,00:00:00,ACC01012313,ACC01012315,9042.88,ACH,Spain,Spain,EUR,EUR,0,Normal Group
2023-06-30,17:00:00,ACC01011239,ACC01011240,6090.596129666794,Debit Card,Netherlands,Netherlands,EUR,EUR,0,Periodical
2023-12-04,00:00:00,ACC01013123,ACC01013126,1055.85,Credit Card,United Kingdom,United Kingdom,GBP,GBP,0,Normal Group
2023-06-30,19:00:00,ACC01009825,ACC01009826,442.79945824113673,ACH,United Kingdom,United Kingdom,GBP,GBP,0,Periodical
2023-01-01,17:00:00,ACC01009899,ACC01009900,9206.827704314983,ACH,Canada,Canada,CAD,CAD,0,Periodical
2023-08-19,00:00:00,ACC01014680,ACC01014682,3239.71,Credit Card,Germany,Germany,EUR,EUR,0,Normal Group
2023-04-26,00:00:00,ACC01015778,ACC01015786,9461.27,Cash,Italy,Italy,EUR,EUR,0,Normal Group
2023-10-02,00:00:00,ACC01014032,ACC01014034,9581.93,ACH,Australia,Australia,AUD,AUD,0,Normal Group
2023-10-13,20:09:00,ACC01006567,ACC01006568,1321.99,Cash,United Kingdom,United States,GBP,USD,0,Single Transaction
2023-10-11,00:00:00,ACC01012691,ACC01012695,7689.58,Cheque,Australia,Australia,AUD,AUD,0,Normal Group
2023-03-22,04:11:00,ACC01003279,ACC01003280,979.43,Cross-border,Italy,Australia,EUR,AUD,0,Single Transaction
2023-02-16,14:45:00,ACC01004931,ACC01004932,66.55,Credit Card,Netherlands,France,EUR,EUR,0,Single Transaction
2023-07-30,15:00:00,ACC01010083,ACC01010084,6284.380851200184,ACH,Japan,Japan,JPY,JPY,0,Periodical
2023-02-04,00:00:00,ACC01013753,ACC01013754,1503.73,Credit Card,Italy,Italy,EUR,EUR,0,Normal Group
2023-07-30,18:00:00,ACC01011123,ACC01011124,6315.734888638988,ACH,Netherlands,Netherlands,EUR,EUR,0,Periodical
2023-09-28,06:00:00,ACC01009961,ACC01009962,6007.781865181491,ACH,Spain,Spain,EUR,EUR,0,Periodical
2023-08-14,00:00:00,ACC01012520,ACC01012521,3431.89,ACH,Spain,Spain,EUR,EUR,0,Normal Group
2023-06-17,10:20:00,ACC01003333,ACC01003334,4829.5,Cross-border,Germany,Japan,EUR,JPY,0,Single Transaction
2024-01-05,00:00:00,ACC01012358,ACC01012361,9223.49,ACH,Japan,Japan,JPY,JPY,0,Normal Group
2023-05-01,00:00:00,ACC01013951,ACC01013953,6151.95,Credit Card,Spain,Spain,EUR,EUR,0,Normal Group
2023-10-29,00:00:00,ACC01012916,ACC01012919,6462.43,ACH,Spain,Spain,EUR,EUR,0,Normal Group
2023-06-30,15:00:00,ACC01009741,ACC01009742,9440.013596832323,Debit Card,Australia,Australia,AUD,AUD,0,Periodical
2023-06-29,00:00:00,ACC01014437,ACC01014440,675.77,Cheque,France,France,EUR,EUR,0,Normal Group
2023-09-01,00:00:00,ACC01015400,ACC01015402,8696.34,Cash,United Kingdom,United Kingdom,GBP,GBP,0,Normal Group
2023-01-18,00:00:00,ACC01013240,ACC01013244,6661.79,Credit Card,Australia,Australia,AUD,AUD,0,Normal Group
2023-01-31,20:00:00,ACC01010803,ACC01010804,132.77248465117304,Debit Card,Italy,Italy,EUR,EUR,0,Periodical
2023-10-08,00:00:00,ACC01011998,ACC01012000,1080.65,Cheque,United States,United States,USD,USD,0,Normal Group
2023-10-11,00:00:00,ACC01012565,ACC01012568,6460.36,Cheque,Australia,Australia,AUD,AUD,0,Normal Group
2023-04-13,01:50:00,ACC01009571,ACC01009572,4901.81,Debit Card,Canada,United States,CAD,USD,0,Single Transaction
2023-04-01,02:00:00,ACC01010109,ACC01010110,3286.8462070947544,Debit Card,France,France,EUR,EUR,0,Periodical
2023-11-01,00:00:00,ACC01012061,ACC01012062,5512.49,Cheque,Italy,Italy,EUR,EUR,0,Normal Group
2023-03-07,00:00:00,ACC01014158,ACC01014160,8524.78,Debit Card,Australia,Australia,AUD,AUD,0,Normal Group
2023-06-11,12:35:00,ACC01007971,ACC01007972,1598.39,Cross-border,United States,Germany,USD,EUR,0,Single Transaction
2023-12-16,00:00:00,ACC01012079,ACC01012082,4012.72,Cash,Japan,Japan,JPY,JPY,0,Normal Group
2023-01-22,00:00:00,ACC01011710,ACC01011713,2717.0,Debit Card,Netherlands,Netherlands,EUR,EUR,0,Normal Group
2023-08-16,00:00:00,ACC01014167,ACC01014170,8149.7,ACH,France,France,EUR,EUR,0,Normal Group
2023-07-09,06:35:00,ACC01005441,ACC01005442,1227.88,Cheque,Netherlands,United States,EUR,USD,0,Single Transaction
2023-02-05,12:54:00,ACC01003289,ACC01003290,1768.11,Credit Card,Italy,Italy,EUR,EUR,0,Single Transaction
2023-05-02,00:00:00,ACC01014977,ACC01014978,4252.27,Cash,United Kingdom,United Kingdom,GBP,GBP,0,Normal Group
2023-09-18,21:46:00,ACC01000697,ACC01000698,1757.13,ACH,Australia,Netherlands,AUD,EUR,0,Single Transaction
2023-01-01,16:00:00,ACC01010641,ACC01010642,6417.780140799952,ACH,Germany,Germany,EUR,EUR,0,Periodical
2023-09-28,17:00:00,ACC01011359,ACC01011360,5276.113383195581,ACH,France,France,EUR,EUR,0,Periodical
2023-08-24,00:00:00,ACC01014059,ACC01014060,302.91,Cross-border,Spain,Spain,EUR,EUR,0,Normal Group
2023-04-19,00:28:00,ACC01003153,ACC01003154,4018.19,Debit Card,Germany,Netherlands,EUR,EUR,0,Single Transaction
2023-01-01,12:00:00,ACC01010731,ACC01010732,5895.784690490323,Debit Card,Italy,Italy,EUR,EUR,0,Periodical
2023-10-07,00:00:00,ACC01012673,ACC01012681,253.75,Cash,Italy,Italy,EUR,EUR,0,Normal Group
2023-11-20,00:00:00,ACC01012376,ACC01012379,7836.42,ACH,Australia,Australia,AUD,AUD,0,Normal Group
2023-01-07,00:00:00,ACC01012970,ACC01012975,4319.03,Cross-border,Australia,Australia,AUD,AUD,0,Normal Group
2023-09-28,19:00:00,ACC01010427,ACC01010428,7713.711654816844,Debit Card,Italy,Italy,EUR,EUR,0,Periodical
2023-12-07,00:00:00,ACC01014014,ACC01014016,448.37,Cheque,Spain,Spain,EUR,EUR,0,Normal Group
2023-01-01,12:00:00,ACC01010191,ACC01010192,7166.044729516953,Debit Card,United States,United States,USD,USD,0,Periodical
2023-02-24,00:00:00,ACC01015292,ACC01015297,3927.37,Cash,United Kingdom,United Kingdom,GBP,GBP,0,Normal Group
2023-03-02,05:00:00,ACC01011039,ACC01011040,2894.2126275160613,Debit Card,Germany,Germany,EUR,EUR,0,Periodical
2023-05-01,05:00:00,ACC01010627,ACC01010628,830.9174171817072,Debit Card,Germany,Germany,EUR,EUR,0,Periodical
2023-06-22,00:00:00,ACC01013474,ACC01013477,157.75,Cross-border,United Kingdom,United Kingdom,GBP,GBP,0,Normal Group
2023-08-29,18:00:00,ACC01011357,ACC01011358,8565.106669655685,ACH,Japan,Japan,JPY,JPY,0,Periodical
2023-10-07,00:00:00,ACC01015175,ACC01015176,6490.46,Cheque,Japan,Japan,JPY,JPY,0,Normal Group
2023-07-30,08:00:00,ACC01010603,ACC01010604,7305.59846249665,Debit Card,United Kingdom,United Kingdom,GBP,GBP,0,Periodical
2023-07-31,01:59:00,ACC01009373,ACC01009374,2468.87,Debit Card,Italy,Germany,EUR,EUR,0,Single Transaction
2023-03-23,19:40:00,ACC01002045,ACC01002046,2023.97,ACH,Canada,United States,CAD,USD,0,Single Transaction
2023-06-23,00:00:00,ACC01014320,ACC01014323,3127.67,Debit Card,Germany,Germany,EUR,EUR,0,Normal Group
2023-02-10,17:11:00,ACC01000843,ACC01000844,3068.59,Cross-border,Australia,Italy,AUD,EUR,0,Single Transaction
2023-09-13,08:33:00,ACC01000573,ACC01000574,3124.5,Cheque,Spain,Canada,EUR,CAD,0,Single Transaction
2023-12-24,00:00:00,ACC01013429,ACC01013437,9216.3,Cash,Australia,Australia,AUD,AUD,0,Normal Group
2023-01-11,20:07:00,ACC01005767,ACC01005768,161.59,Debit Card,Netherlands,Spain,EUR,EUR,0,Single Transaction
